strain,date,country
EPI_ISL_434569,2020-01-27,Hong Kong
EPI_ISL_434570,2020-01-29,Hong Kong
EPI_ISL_435126,2020-02-25,United Arab Emirates
EPI_ISL_416373,2020-02-07,China
EPI_ISL_412981,2020-01-18,China
EPI_ISL_428713,2020-03-18,Turkey
EPI_ISL_420142,2020-03-30,Georgia
EPI_ISL_435135,2020-02-25,United Arab Emirates
EPI_ISL_452364,2020-02-05,China
EPI_ISL_447252,2020-02-25,Taiwan
EPI_ISL_415742,2020-02-27,Taiwan
EPI_ISL_444274,2020-02-29,Taiwan
EPI_ISL_415741,2020-02-26,Taiwan
EPI_ISL_417519,2020-03-05,Taiwan
EPI_ISL_415743,2020-02-27,Taiwan
EPI_ISL_414520,2020-03-02,Germany
EPI_ISL_437327,2020-03-19,Turkey
EPI_ISL_417524,2020-03-14,Taiwan
EPI_ISL_414414,2020-02-29,Australia
EPI_ISL_413214,2020-02-29,Australia
EPI_ISL_435121,2020-02-25,United Arab Emirates
EPI_ISL_434565,2020-01-24,Hong Kong
EPI_ISL_450408,2020-01-24,Hong Kong
EPI_ISL_434566,2020-01-27,Hong Kong
EPI_ISL_418325,2020-02-20,Canada
EPI_ISL_412975,2020-02-28,Australia
EPI_ISL_430847,2020-02-27,Sweden
EPI_ISL_447019,2020-04-01,Thailand
EPI_ISL_447025,2020-04-02,Thailand
EPI_ISL_435139,2020-02-25,United Arab Emirates
EPI_ISL_413490,2020-02-27,New Zealand
EPI_ISL_435131,2020-02-25,United Arab Emirates
EPI_ISL_427133,2020-04-06,Australia
EPI_ISL_430619,2020-04-08,Australia
EPI_ISL_415644,2020-02-28,Georgia
EPI_ISL_413595,2020-02-28,Australia
EPI_ISL_457704,2020-02-24,Oman
EPI_ISL_457706,2020-03-02,Oman
EPI_ISL_421665,2020-03-10,India
EPI_ISL_437324,2020-03-19,Turkey
EPI_ISL_437322,2020-03-19,Turkey
EPI_ISL_437323,2020-03-19,Turkey
EPI_ISL_435122,2020-03-14,United Arab Emirates
EPI_ISL_451193,2020-03-30,Uganda
EPI_ISL_435120,2020-03-14,United Arab Emirates
EPI_ISL_457937,2020-03-15,Oman
EPI_ISL_457701,2020-02-23,Oman
EPI_ISL_429872,2020-03-25,Turkey
EPI_ISL_413213,2020-02-29,Australia
EPI_ISL_418383,2020-02-29,Canada
EPI_ISL_417484,2020-02-26,Norway
EPI_ISL_435045,2020-03-22,Kazakhstan
EPI_ISL_454505,2020-04-26,Kazakhstan
EPI_ISL_454510,2020-04-26,Kazakhstan
EPI_ISL_454599,2020-04-26,Kazakhstan
EPI_ISL_454594,2020-04-26,Kazakhstan
EPI_ISL_454590,2020-04-26,Kazakhstan
EPI_ISL_454591,2020-04-26,Kazakhstan
EPI_ISL_454504,2020-04-26,Kazakhstan
EPI_ISL_454598,2020-04-26,Kazakhstan
EPI_ISL_454507,2020-04-26,Kazakhstan
EPI_ISL_454509,2020-04-26,Kazakhstan
EPI_ISL_454513,2020-04-26,Kazakhstan
EPI_ISL_454514,2020-04-26,Kazakhstan
EPI_ISL_421573,2020-03-31,South Africa
EPI_ISL_435084,2020-03-29,India
EPI_ISL_443188,2020-03-18,Singapore
EPI_ISL_447921,2020-03-13,Thailand
EPI_ISL_443232,2020-03-17,Singapore
EPI_ISL_447866,2020-04-14,India
EPI_ISL_416432,2020-03-07,Saudi Arabia
EPI_ISL_452178,2020-04-19,Taiwan
EPI_ISL_447622,2020-04-27,Taiwan
EPI_ISL_452179,2020-04-19,Taiwan
EPI_ISL_429882,2020-03-29,Taiwan
EPI_ISL_459957,2020-04-01,Malaysia
EPI_ISL_447571,2020-04-01,India
EPI_ISL_447583,2020-04-16,India
EPI_ISL_419926,2020-03-21,Australia
EPI_ISL_454830,2020-04-23,India
EPI_ISL_459956,2020-03-30,Malaysia
EPI_ISL_435095,2020-03-29,India
EPI_ISL_459955,2020-03-18,Malaysia
EPI_ISL_428484,2020-04-10,India
EPI_ISL_459915,2020-05-12,India
EPI_ISL_456553,2020-05-14,Australia
EPI_ISL_462357,2020-04-06,Singapore
EPI_ISL_457977,2020-03-18,Oman
EPI_ISL_435096,2020-03-29,India
EPI_ISL_435092,2020-03-28,India
EPI_ISL_436420,2020-03-31,India
EPI_ISL_435074,2020-03-28,India
EPI_ISL_435088,2020-03-29,India
EPI_ISL_454568,2020-04-25,India
EPI_ISL_435087,2020-03-29,India
EPI_ISL_455910,2020-03-11,Thailand
EPI_ISL_455312,2020-04-09,Malaysia
EPI_ISL_459953,2020-03-16,Malaysia
EPI_ISL_417917,2020-03-20,Malaysia
EPI_ISL_459954,2020-03-16,Malaysia
EPI_ISL_417918,2020-03-18,Malaysia
EPI_ISL_462343,2020-04-20,Singapore
EPI_ISL_436422,2020-03-31,India
EPI_ISL_436449,2020-04-12,India
EPI_ISL_452215,2020-04-22,India
EPI_ISL_455656,2020-04-30,India
EPI_ISL_458073,2020-04-20,India
EPI_ISL_443212,2020-04-08,Singapore
EPI_ISL_428842,2020-04-08,Singapore
EPI_ISL_462374,2020-04-08,Singapore
EPI_ISL_462375,2020-04-09,Singapore
EPI_ISL_462382,2020-05-06,Singapore
EPI_ISL_462355,2020-04-03,Singapore
EPI_ISL_428844,2020-04-08,Singapore
EPI_ISL_462407,2020-04-06,Singapore
EPI_ISL_428845,2020-04-08,Singapore
EPI_ISL_462356,2020-04-07,Singapore
EPI_ISL_443244,2020-04-08,Singapore
EPI_ISL_462321,2020-04-27,Singapore
EPI_ISL_422434,2020-03-31,Singapore
EPI_ISL_443227,2020-03-16,Singapore
EPI_ISL_443213,2020-04-08,Singapore
EPI_ISL_443216,2020-03-19,Singapore
EPI_ISL_462286,2020-03-20,Singapore
EPI_ISL_462427,2020-05-15,Singapore
EPI_ISL_462412,2020-05-03,Singapore
EPI_ISL_462322,2020-04-27,Singapore
EPI_ISL_462397,2020-04-17,Singapore
EPI_ISL_462393,2020-05-06,Singapore
EPI_ISL_462428,2020-04-06,Singapore
EPI_ISL_428838,2020-04-08,Singapore
EPI_ISL_416607,2020-02-17,Japan
EPI_ISL_416578,2020-02-15,Japan
EPI_ISL_418994,2020-01-29,Singapore
EPI_ISL_407988,2020-02-01,Singapore
EPI_ISL_420889,2020-02-14,Japan
EPI_ISL_416566,2020-02-15,Japan
EPI_ISL_419831,2020-02-21,Australia
EPI_ISL_416624,2020-02-17,Japan
EPI_ISL_412969,2020-02-10,Japan
EPI_ISL_416587,2020-02-16,Japan
EPI_ISL_416598,2020-02-16,Japan
EPI_ISL_419835,2020-02-24,Australia
EPI_ISL_413459,2020-02-20,Japan
EPI_ISL_416614,2020-02-17,Japan
EPI_ISL_416612,2020-02-17,Japan
EPI_ISL_416617,2020-02-17,Japan
EPI_ISL_416611,2020-02-17,Japan
EPI_ISL_416628,2020-02-17,Japan
EPI_ISL_416573,2020-02-15,Japan
EPI_ISL_416575,2020-02-15,Japan
EPI_ISL_416596,2020-02-16,Japan
EPI_ISL_419211,2020-02-23,Israel
EPI_ISL_464183,2020-02-24,United Kingdom
EPI_ISL_412030,2020-02-01,Hong Kong
EPI_ISL_451298,2020-02-12,Italy
EPI_ISL_412974,2020-01-29,Italy
EPI_ISL_451302,2020-01-30,Italy
EPI_ISL_457730,2020-02-06,Taiwan
EPI_ISL_415643,2020-03-10,Georgia
EPI_ISL_416480,2020-03-11,Georgia
EPI_ISL_415641,2020-02-27,Georgia
EPI_ISL_420135,2020-02-28,Norway
EPI_ISL_417488,2020-02-29,Norway
